mir,gene
hsa-let-7a-5p,GALE
hsa-let-7a-5p,PTAFR
hsa-let-7a-5p,BSDC1
hsa-let-7a-5p,MYCBP
hsa-let-7a-5p,MED8
hsa-let-7a-5p,ZSWIM5
hsa-let-7a-5p,ATPAF1
hsa-let-7a-5p,USP24
hsa-let-7a-5p,GNG5
hsa-let-7a-5p,ZNF644
hsa-let-7a-5p,SLC25A24
hsa-let-7a-5p,NRAS
hsa-let-7a-5p,NGF
hsa-let-7a-5p,WARS2
hsa-let-7a-5p,ZNF697
hsa-let-7a-5p,POGZ
hsa-let-7a-5p,SCYL3
hsa-let-7a-5p,ABL2
hsa-let-7a-5p,RGS16
hsa-let-7a-5p,EDEM3
hsa-let-7a-5p,ETNK2
hsa-let-7a-5p,PPP1R15B
hsa-let-7a-5p,IL10
hsa-let-7a-5p,YOD1
hsa-let-7a-5p,LPGAT1
hsa-let-7a-5p,ACTA1
hsa-let-7a-5p,AHCTF1
hsa-let-7a-5p,TNFRSF1B
hsa-let-7a-5p,PRDM2
hsa-let-7a-5p,EFHD2
hsa-let-7a-5p,DDI2
hsa-let-7a-5p,PQLC2
hsa-let-7a-5p,XKR8
hsa-let-7a-5p,AGO4
hsa-let-7a-5p,CTPS1
hsa-let-7a-5p,HOOK1
hsa-let-7a-5p,PKN2
hsa-let-7a-5p,PRPF38B
hsa-let-7a-5p,LRIG2
hsa-let-7a-5p,PLEKHO1
hsa-let-7a-5p,ADAM15
hsa-let-7a-5p,USP21
hsa-let-7a-5p,PBX1
hsa-let-7a-5p,PRRX1
hsa-let-7a-5p,SWT1
hsa-let-7a-5p,MFSD4A
hsa-let-7a-5p,VASH2
hsa-let-7a-5p,SKIDA1
hsa-let-7a-5p,ERCC6
hsa-let-7a-5p,SLC16A9
hsa-let-7a-5p,NDST2
hsa-let-7a-5p,AC022400.6
hsa-let-7a-5p,CPEB3
hsa-let-7a-5p,WDR37
hsa-let-7a-5p,MLLT10
hsa-let-7a-5p,CCNY
hsa-let-7a-5p,FAS
hsa-let-7a-5p,HECTD2
hsa-let-7a-5p,CCNJ
hsa-let-7a-5p,LCOR
hsa-let-7a-5p,SCD
hsa-let-7a-5p,SLF2
hsa-let-7a-5p,SEMA4G
hsa-let-7a-5p,NUP98
hsa-let-7a-5p,EIF4G2
hsa-let-7a-5p,LGR4
hsa-let-7a-5p,SYT7
hsa-let-7a-5p,B4GAT1
hsa-let-7a-5p,KCTD21
hsa-let-7a-5p,FZD4
hsa-let-7a-5p,RDX
hsa-let-7a-5p,ADAMTS8
hsa-let-7a-5p,CLP1
hsa-let-7a-5p,STX3
hsa-let-7a-5p,TMEM135
hsa-let-7a-5p,ANKRD49
hsa-let-7a-5p,NKAPD1
hsa-let-7a-5p,CHD4
hsa-let-7a-5p,BCAT1
hsa-let-7a-5p,GXYLT1
hsa-let-7a-5p,KMT2D
hsa-let-7a-5p,ZBTB39
hsa-let-7a-5p,NEMP1
hsa-let-7a-5p,LRIG3
